gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,4,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,256,1,16.6837,flydsl_hgemm_abf16_wbf16_bf16_t16x32x256x4_ks1_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.0049,21.12,5285.81
gfx950,256,8,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,232,1,16.8125,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x8_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,41.91,5251.65
gfx950,256,16,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,257,1,17.9172,flydsl_hgemm_abf16_wbf16_bf16_t16x32x256x4_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,78.66,4939.74
gfx950,256,32,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1800,4,19.3609,flydsl_hgemm_abf16_wbf16_bf16_t32x96x64x8_ks4_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0135,145.58,4593.4
gfx950,256,64,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3308,4,22.8683,flydsl_hgemm_abf16_wbf16_bf16_t64x96x64x6_ks4_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0137,246.5,3926.15
gfx950,256,128,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2949,2,29.6587,flydsl_hgemm_abf16_wbf16_bf16_t64x96x128x3_ks2_w2x2x2_bias0_ktail0_gm0_pft_gfx950,0.0141,380.13,3084.7
gfx950,256,256,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2082,1,41.5624,flydsl_hgemm_abf16_wbf16_bf16_t64x96x128x3_ks1_w2x2x2_bias0_ktail0_gm4_pft_gfx950,0.006,542.52,2283.22
gfx950,256,512,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,328,1,65.6318,flydsl_hgemm_abf16_wbf16_bf16_t128x96x64x4_ks1_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,687.12,1549.73
gfx950,256,1024,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,96.5949,native,0.0,933.74,1194.09
gfx950,256,1,7168,768,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,156,1,4.6093,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x5_ks1_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,2.39,2392.1
gfx950,256,1,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,203,1,6.2186,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x4_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,3.54,3543.8
gfx950,256,1,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,163,1,10.694,flydsl_hgemm_abf16_wbf16_bf16_t16x16x64x8_ks1_w1x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,4.8,4806.6
gfx950,256,1,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,135,1,12.413,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x5_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,4.88,4880.21
gfx950,256,2,7168,768,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,233,1,4.5662,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x8_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,4.82,2418.16
gfx950,256,2,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,330,1,6.1341,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x8_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,7.18,3595.46
gfx950,256,2,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,236,1,10.6225,flydsl_hgemm_abf16_wbf16_bf16_t16x32x256x3_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,9.67,4840.97
gfx950,256,2,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,155,1,12.249,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x8_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,9.89,4947.41
gfx950,256,4,7168,768,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,151,1,4.6514,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x4_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,9.47,2380.69
gfx950,256,4,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,330,1,6.1595,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x8_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,14.3,3586.29
gfx950,256,4,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,236,1,10.688,flydsl_hgemm_abf16_wbf16_bf16_t16x32x256x3_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,19.23,4815.33
gfx950,256,4,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,149,1,12.3502,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x7_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,19.61,4910.56
gfx950,256,8,7168,768,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,166,1,4.6236,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x7_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,19.05,2408.73
gfx950,256,8,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,330,1,6.2123,flydsl_hgemm_abf16_wbf16_bf16_t16x32x64x8_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,28.36,3567.01
gfx950,256,8,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,243,1,10.7643,flydsl_hgemm_abf16_wbf16_bf16_t16x32x256x4_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,38.19,4789.19
gfx950,256,8,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,142,1,12.3549,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x6_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,39.21,4916.07
